Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction,attendDuration1,attendDuration2,attendDuration3,attendPercent1,attendPercent2,attendPercent3,lengthOfStay1,lengthOfStay2,lengthOfStay3
2020-03-23,127.489998,128.880005,126.919998,127.830002,63152400,122.905254,106.7410523,117.9276669,129.1142814,Increasing,145,459,470,100,64,15,232,16,58
2019-12-16,127.629997,128.779999,127.449997,128.720001,44891700,123.760965,107.842423,118.9403335,130.0382439,Increasing,57,196,307,66,68,39,97,133,472
2019-12-17,128.479996,129.029999,128.330002,128.449997,37362400,123.501363,108.8942449,119.8891668,130.8840887,Decreasing,29,93,374,34,1,7,97,81,428
2019-08-25,128.619995,129.5,128.050003,129.5,48948400,124.510914,109.7854494,120.7635001,131.7415509,Increasing,66,46,205,100,11,87,72,341,544
2020-07-27,130.020004,133,129.660004,133,70974100,127.876074,110.3725162,121.7201668,133.0678174,Increasing,180,153,66,65,81,48,285,339,540
2020-07-31,132.940002,133.600006,131.169998,132.169998,69228100,127.078049,111.0948689,122.6648335,134.2347981,Decreasing,98,381,388,35,78,86,285,308,549
2020-04-06,131.559998,131.600006,128.149994,128.789993,74711700,123.828261,113.2119183,123.6296667,134.0474151,Decreasing,183,195,62,45,80,35,413,181,60
2020-04-15,128.789993,130.869995,126.610001,130.419998,91287500,125.395469,114.1652991,124.2823333,134.3993674,Increasing,223,408,60,55,30,50,413,548,84
2020-04-06,130,130.570007,128.240005,128.460007,62014800,123.510987,114.9668484,124.8426669,134.7184854,Decreasing,1,79,50,0,49,81,413,417,21
2020-09-11,129.25,130.279999,128.300003,129.089996,48096700,124.116706,115.8770904,125.4036668,134.9302432,Decreasing,78,292,400,100,32,83,264,116,532
2021-01-12,128.960007,129.520004,128.089996,129.360001,37816300,124.376308,116.9535132,125.9551669,134.9568205,Increasing,290,192,6,78,24,41,355,509,140
2021-01-13,129.100006,129.559998,128.320007,128.539993,31666300,123.587892,118.0874253,126.4730002,134.8585751,Decreasing,57,236,484,15,19,92,355,149,387
2021-01-14,128.580002,128.75,125.760002,126.410004,56517100,121.539962,119.1048311,126.848667,134.5925029,Decreasing,27,372,174,7,91,55,355,453,449
2019-02-05,128.399994,129.369995,126.260002,126.599998,72842100,121.722637,120.190797,127.2288335,134.26687,Decreasing,12,147,383,100,77,84,17,185,490
2020-01-02,127.959999,129.570007,125.059998,127.139999,88528500,122.241834,121.6289771,127.631167,133.6333568,Decreasing,96,166,343,39,87,27,253,533,360
2020-01-08,126.410004,127.220001,123.800003,124.510002,68856600,119.71316,123.1164763,127.9235004,132.7305246,Decreasing,150,200,354,61,19,91,253,60,236
2019-08-06,124.75,124.769997,122.110001,122.239998,68939000,117.530609,123.592756,128.0033337,132.4139113,Decreasing,101,140,385,56,6,48,190,290,458
2019-08-09,122.309998,124.900002,121.629997,124.449997,48362700,119.655466,123.4894559,127.9813337,132.4732114,Increasing,80,456,475,44,56,67,190,147,457
2019-07-29,124.400002,125.400002,122.580002,123.589996,51827300,118.828598,123.045606,127.8490003,132.6523946,Decreasing,348,254,118,25,93,7,1755,240,222
2019-08-06,123.879997,124.949997,122.870003,124.949997,35874300,120.136203,122.6967016,127.7283335,132.7599655,Increasing,192,327,116,38,20,5,1755,283,52
2019-08-26,125.900002,127.32,125.650002,127.040001,51023100,122.145688,122.616033,127.6680002,132.7199674,Increasing,480,306,451,34,35,22,1755,547,172
2019-09-23,127,129.160004,126.370003,128.470001,65270900,123.520597,122.6064498,127.652167,132.6978842,Increasing,338,137,208,38,9,88,1755,33,93
2019-09-25,128.75,129.25,127.400002,127.5,45809500,122.587966,122.5939029,127.6245004,132.6550979,Decreasing,49,285,172,3,55,40,1755,166,366
2020-12-10,128.25,128.399994,125.160004,125.900002,68695100,121.049608,122.4865925,127.4980004,132.5094083,Decreasing,72,111,39,100,42,87,80,328,387
2019-10-02,127.120003,127.849998,126.519997,127.209999,37709700,122.309137,122.6741703,127.2633335,131.8524968,Increasing,60,81,90,100,2,74,64,359,223
2019-05-30,127.230003,128.039993,126.559998,126.690002,32842300,121.809174,123.0410183,127.0025001,130.9639818,Decreasing,73,385,179,100,13,62,105,163,56
2019-05-16,126.540001,126.82,123.379997,123.379997,51655200,118.626689,122.8276392,126.7531667,130.6786943,Decreasing,168,341,284,100,83,48,175,63,534
2019-06-25,122.760002,124.879997,122.599998,124.239998,47572900,119.453558,122.5538523,126.4835001,130.4131478,Increasing,71,469,432,42,69,44,176,245,178
2019-06-28,124.57,124.699997,122.910004,123.25,39546200,118.5017,122.2826504,126.2099998,130.1373491,Decreasing,71,187,372,42,68,45,176,374,220
2019-06-29,124.050003,126.400002,124,126.370003,47099700,121.501502,122.346906,126.0283332,129.7097604,Increasing,28,312,333,16,8,90,176,256,264
2019-12-24,126.089996,126.489998,124.360001,124.43,42090600,119.63624,122.395242,125.8334998,129.2717577,Decreasing,195,228,443,100,89,38,311,140,73
2020-03-09,124.82,125.120003,123.099998,124.25,40621400,119.463174,122.3761274,125.6009999,128.8258723,Decreasing,55,82,124,51,92,23,119,151,174
2020-03-09,125.029999,125.559998,124.190002,125.32,32220100,120.491951,122.3330336,125.5034998,128.673966,Increasing,0,148,91,0,75,23,119,169,108
2020-03-09,124.470001,127.510002,124.330002,127.349998,37194000,122.443743,122.374816,125.4528332,128.5308505,Increasing,1,310,399,51,65,52,119,130,216
2020-03-11,127.639999,128.119995,125.980003,126.010002,35012300,121.155371,122.4030622,125.4251665,128.4472708,Decreasing,54,19,161,49,20,58,119,544,327
2020-01-06,125.849998,126.400002,124.970001,125.599998,37329200,120.761163,122.4277133,125.4491664,128.4706195,Decreasing,90,438,332,100,96,46,96,49,471
2020-10-06,125.849998,126.580002,124.660004,126.559998,32484000,121.684177,122.7775359,125.5938332,128.4101305,Increasing,370,53,117,100,11,81,433,495,466
2019-01-04,125.949997,127.209999,125.260002,127.099998,40188000,122.203374,123.0398914,125.7369999,128.4341085,Increasing,5,268,493,100,28,74,141,71,420
2019-03-09,128.369995,128.570007,126.610001,126.849998,36365100,121.963006,123.272819,125.9113334,128.5498477,Decreasing,17,420,133,100,31,75,23,269,419
2019-08-05,127,127.290001,125.910004,126.300003,25524600,121.434199,123.487134,126.0235002,128.5598665,Decreasing,38,438,19,100,36,47,49,185,376
2020-02-27,126.410004,127.129997,126.010002,126.779999,28970400,121.895703,123.4871301,126.0220001,128.5568702,Increasing,81,89,282,100,49,52,377,29,490
2020-06-14,126.279999,127.099998,126.110001,126.169998,28369000,121.309203,123.5664037,125.945,128.3235962,Decreasing,11,138,361,17,73,83,71,440,474
2020-06-15,125.550003,126.139999,124.459999,124.75,51957000,119.943911,123.6022692,125.7983332,127.9943973,Decreasing,25,463,290,39,67,30,71,258,12
2020-06-16,125.57,128.119995,125.169998,127.599998,47054300,122.684112,123.5867451,125.8221664,128.0575877,Increasing,28,203,25,44,30,56,71,73,215
2019-04-11,128.100006,128.199997,126.669998,126.910004,32435100,122.020699,123.5817266,125.8254998,128.069273,Decreasing,116,51,57,100,65,85,124,141,423
2019-04-04,126.989998,128.869995,126.32,128.619995,37654500,123.664812,123.5019782,125.8674998,128.2330214,Increasing,103,431,203,100,38,87,110,66,375
