Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2019-05-01,7,12,56,479,63152400,81,229,117.9276669,292,Increasing
2019-05-02,21,82,96,246,44891700,281,498,118.9403335,13,Increasing
2019-05-03,79,19,59,5,37362400,428,284,119.8891668,411,Decreasing
2019-05-04,53,19,93,74,48948400,327,135,120.7635001,2,Increasing
2019-05-05,46,26,41,127,70974100,317,42,121.7201668,211,Increasing
2019-05-06,7,87,90,204,69228100,163,104,122.6648335,107,Decreasing
2019-05-07,27,42,99,63,74711700,84,244,123.6296667,107,Decreasing
2019-05-08,74,33,14,171,91287500,85,375,124.2823333,436,Increasing
2019-05-09,80,33,66,238,62014800,475,110,124.8426669,223,Decreasing
2019-05-10,46,17,7,8,48096700,126,268,125.4036668,35,Decreasing
2019-05-11,63,57,57,179,37816300,258,205,125.9551669,258,Increasing
2019-05-12,79,35,72,252,31666300,262,446,126.4730002,265,Decreasing
2019-05-13,62,39,99,226,56517100,419,219,126.848667,237,Decreasing
2019-05-14,64,89,79,232,72842100,257,84,127.2288335,326,Decreasing
2019-05-15,99,15,29,191,88528500,84,6,127.631167,352,Decreasing
2019-05-16,85,24,44,457,68856600,393,35,127.9235004,479,Decreasing
2019-05-17,53,41,34,24,68939000,400,434,128.0033337,322,Decreasing
2019-05-18,13,34,38,217,48362700,62,354,127.9813337,34,Increasing
2019-05-19,74,37,86,419,51827300,265,177,127.8490003,243,Decreasing
2019-05-20,63,38,19,242,35874300,330,46,127.7283335,12,Increasing
2019-05-21,10,32,47,117,51023100,259,390,127.6680002,241,Increasing
2019-05-22,36,17,44,357,65270900,112,92,127.652167,474,Increasing
2019-05-23,48,81,51,251,45809500,475,301,127.6245004,479,Decreasing
2019-05-24,100,66,18,472,68695100,117,37,127.4980004,235,Decreasing
2019-05-25,23,80,16,432,37709700,484,420,127.2633335,108,Increasing
2019-05-26,19,21,90,152,32842300,436,72,127.0025001,350,Decreasing
2019-05-27,65,46,86,388,51655200,42,89,126.7531667,428,Decreasing
2019-05-28,46,82,7,333,47572900,138,55,126.4835001,264,Increasing
2019-05-29,54,63,68,77,39546200,236,110,126.2099998,276,Decreasing
2019-05-30,85,93,45,98,47099700,359,47,126.0283332,328,Increasing
2019-05-31,9,72,70,390,42090600,461,396,125.8334998,387,Decreasing
2019-06-01,53,73,17,226,40621400,390,107,125.6009999,448,Decreasing
2019-06-02,10,88,19,23,32220100,143,370,125.5034998,49,Increasing
2019-06-03,55,18,6,247,37194000,164,62,125.4528332,322,Increasing
2019-06-04,21,18,87,14,35012300,161,66,125.4251665,96,Decreasing
2019-06-05,82,87,25,30,37329200,356,473,125.4491664,489,Decreasing
2019-06-06,67,78,38,40,32484000,163,276,125.5938332,486,Increasing
2019-06-07,45,87,23,252,40188000,408,36,125.7369999,279,Increasing
2019-06-08,76,34,77,332,36365100,334,82,125.9113334,233,Decreasing
